customer_id,full_name,email,phone,city,state,customer_tier,lifetime_value,record_ts,is_active
C0218,Rose Harris,rose.harris@gmail.com,986-607-6997,Las Vegas,NV,GOLD,9298.46,2024-09-05 14:43:38,false
C0016,Olivia Anderson,olivia.anderson@hotmail.com,575-661-9866,Bellevue,WA,PLATINUM,2918.93,2024-12-24 11:02:16,true
C0224,Sam Brown,sam.brown@company.com,831-955-6549,San Diego,CA,SILVER,5868.62,2024-07-05 19:25:27,false
C0015,Aaron Thomas,aaron.thomas@hotmail.com,795-441-6019,Knoxville,TN,PLATINUM,970.33,2024-11-05 05:02:20,true
C0273,Tina Smith,@nodomain.com,792-239-3756,Tampa,FL,PLATINUM,2563.54,2024-01-10 00:19:35,false
C0222,Henry Garcia,henry.garcia@hotmail.com,332-445-8546,Charlotte,NC,GOLD,3157.51,2024-09-29 06:03:19,false
C0229,Grace Thomas,grace.thomas@gmail.com,994-342-9510,Savannah,GA,SILVER,5394.55,2024-09-05 03:35:17,false
C0009,Alice Wilson,alice.wilson@yahoo.com,883-983-3403,Bend,OR,PLATINUM,6111.55,2024-12-14 05:24:51,true
C0221,Zoe Davis,zoe.davis@outlook.com,503-172-3186,Rochester,NY,PLATINUM,6769.26,2024-09-23 03:18:53,false
C0264,Aaron Davis,aaron.davis@company.com,889-536-8883,Boston,MA,PLATINUM,7173.02,2024-07-01 05:16:23,false
C0238,Jack Brown,jack.brown@company.com,970-287-5353,Worcester,MA,SILVER,3127.57,2024-07-09 17:37:44,true
C0214,Henry Davis,henry.davis@yahoo.com,875-857-4686,San Francisco,CA,SILVER,6642.1,2024-09-27 13:32:47,true
C0208,Yara Wilson,yara.wilson@hotmail.com,903-228-3307,Scottsdale,AZ,PLATINUM,1206.36,2024-09-19 01:15:45,true
C0262,Xander Davis,xander.davis@gmail.com,389-371-1065,San Diego,CA,PLATINUM,3698.3,2024-07-20 04:41:34,true
C0232,Olivia Brown,olivia.brown@work.org,826-678-7368,Phoenix,AZ,GOLD,7008.67,2024-09-02 06:31:39,false
C0010,Sam Thomas,sam.thomas@company.com,428-623-9938,Colorado Springs,CO,PLATINUM,9899.57,2024-12-07 19:26:07,true
C0247,Chris Brown,chris.brown@outlook.com,451-131-8425,Memphis,TN,PLATINUM,193.55,2024-07-20 06:50:17,true
C0203,Mia Garcia,mia.garcia@work.org,628-781-6945,Albany,NY,BRONZE,292.08,2024-07-13 06:22:11,true
C0256,Noah Brown,noah.brown@yahoo.com,691-433-4453,Columbus,GA,PLATINUM,7242.9,2024-09-01 07:17:53,true
C0266,Eve Martin,plaintext,355-329-3902,Albany,NY,PLATINUM,6087.84,2023-03-27 14:59:27,false
C0253,Tina Jones,tina.jones@outlook.com,228-184-2437,Cleveland,OH,BRONZE,6433.0,2024-07-25 05:04:17,false
