customer_id,full_name,email,phone,city,state,customer_tier,lifetime_value,record_ts,is_active
C0513,,grace.martin@yahoo.com,227-420-9267,Rockford,IL,SILVER,1842.04,2023-08-12 13:30:29,true
C0062,Carol Garcia,carol.garcia@outlook.com,314-634-7808,Tucson,AZ,PLATINUM,2129.78,2024-12-19 09:54:19,false
C0064,Grace Davis,grace.davis@hotmail.com,535-764-8775,Aurora,IL,PLATINUM,6366.99,2024-12-07 23:32:32,false
C0423,Henry Jackson,henry.jackson@hotmail.com,450-276-2025,Toledo,OH,GOLD,5028.63,2023-01-04 15:21:31,true
C0500,Zoe Johnson,zoe.johnson@hotmail.com,324-853-6980,Chattanooga,TN,vip,-948.79,2023-02-18 05:01:45,true
C0404,Diana Harris,diana.harris@work.org,544-648-7970,Portland,OR,SILVER,7021.14,2023-03-13 22:27:00,false
C0422,Aaron Martin,aaron.martin@gmail.com,769-881-7087,Rochester,NY,BRONZE,2090.97,2023-05-30 15:04:32,true
C0068,Uma Jones,uma.jones@outlook.com,786-472-9032,Carson City,NV,SILVER,5635.13,2024-11-19 18:14:59,false
C0514,,uma.jackson@work.org,921-867-5170,Salem,OR,PLATINUM,2404.42,2023-10-24 11:40:12,false
C0083,Chris Jones,chris.jones@work.org,505-145-8290,San Diego,CA,SILVER,5128.93,2024-12-25 04:21:19,false
C0412,Wendy Martin,wendy.martin@outlook.com,855-439-2445,Spokane,WA,BRONZE,494.47,2023-02-07 05:00:31,false
C0050,Aaron Davis,aaron.davis@company.com,973-497-9164,Augusta,GA,PLATINUM,8849.36,2024-12-15 06:05:12,false
C0517,,quinn.williams@company.com,793-459-5074,Bellevue,WA,GOLD,5863.0,2024-03-04 05:38:27,false
C0409,Carol Williams,carol.williams@gmail.com,504-308-1993,Aurora,CO,GOLD,1152.19,2023-04-24 19:53:59,true
C0074,Wendy Brown,wendy.brown@company.com,286-258-2447,Los Angeles,CA,BRONZE,7398.66,2024-12-30 17:39:59,false
C0061,Alice Anderson,alice.anderson@gmail.com,365-191-6462,Chicago,IL,BRONZE,6031.85,2024-11-22 11:39:39,false
C0512,,quinn.smith@company.com,257-437-8622,San Antonio,TX,BRONZE,9641.04,2024-03-18 20:54:38,true
C0415,Olivia Smith,olivia.smith@yahoo.com,898-515-1033,Rockford,IL,BRONZE,9545.63,2023-05-02 03:30:19,false
C0056,Yara Wilson,yara.wilson@hotmail.com,807-311-5511,Aurora,IL,GOLD,7904.08,2024-12-19 17:00:08,false
C0502,Wendy Anderson,wendy.anderson@gmail.com,841-323-6767,Carson City,NV,unknown,-359.48,2023-09-04 10:52:23,false
C0078,Tina Anderson,tina.anderson@yahoo.com,816-358-2989,Cambridge,MA,PLATINUM,2543.69,2024-11-14 14:36:00,false
C0080,Wendy Davis,wendy.davis@company.com,332-597-1168,Albany,NY,PLATINUM,4605.36,2024-11-19 09:34:38,false
C0400,Jack Jackson,jack.jackson@yahoo.com,339-330-5300,Columbus,OH,BRONZE,568.51,2023-01-10 12:37:48,true
C0506,Olivia Smith,olivia.smith@work.org,567-939-2378,Boston,MA,GOLD,-779.88,2023-02-04 20:34:46,false
C0424,Xander Brown,xander.brown@gmail.com,783-991-2647,Aurora,CO,PLATINUM,8467.42,2023-06-24 19:56:07,true
C0414,Grace Thomas,grace.thomas@gmail.com,796-440-8698,Toledo,OH,PLATINUM,6293.12,2023-01-20 20:19:40,true
C0507,Chris Thomas,chris.thomas@outlook.com,524-469-6741,Aurora,IL,PLATINUM,-970.1,2023-09-23 02:18:54,true
C0406,Iris Harris,iris.harris@hotmail.com,360-548-5180,San Francisco,CA,SILVER,1845.47,2023-03-10 13:00:06,true
C0419,Karen Garcia,karen.garcia@work.org,509-941-1996,Mesa,AZ,PLATINUM,502.76,2023-02-28 19:31:22,false
C0054,Uma Brown,uma.brown@outlook.com,569-857-7563,Knoxville,TN,PLATINUM,2624.16,2024-12-20 11:28:14,false
C0066,Zoe White,zoe.white@work.org,540-899-4975,Bellevue,WA,PLATINUM,1839.03,2024-12-08 21:04:20,false
C0052,Aaron White,aaron.white@hotmail.com,926-912-4541,Mesa,AZ,SILVER,5113.11,2024-11-25 14:08:32,false
C0405,Jack Garcia,jack.garcia@company.com,460-208-6045,Nashville,TN,SILVER,8756.38,2023-01-13 16:16:05,true
C0077,Tina Johnson,tina.johnson@company.com,784-152-5415,Tampa,FL,PLATINUM,4145.08,2024-12-03 18:23:28,false
C0059,Sam White,sam.white@yahoo.com,419-752-7686,Greensboro,NC,PLATINUM,6940.0,2024-11-24 16:28:19,false
C0403,Grace Davis,grace.davis@yahoo.com,870-265-2914,Raleigh,NC,BRONZE,1191.14,2023-06-11 17:52:39,true
C0509,David Davis,david.davis@work.org,854-163-5494,Raleigh,NC,  gold  ,-332.9,2023-04-11 09:24:54,true
C0081,Eve Thomas,eve.thomas@company.com,744-740-9931,Aurora,IL,PLATINUM,9282.15,2024-12-30 15:48:20,false
